Structure	acname	activity
O=C(Nc1cc2ncc(CN3CCCC3)cc2cc1F)c1ccc(-c2ccc(F)cc2)cc1	IC50	13.479038321343062
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)c1ccc(-c2ccc(Cl)cc2)cc1	IC50	14.116615650748196
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)c1ccc(-c2ccc(F)cc2)cc1	IC50	12.785891140783116
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)c1ccc(-c2ccccc2)cc1	IC50	11.250561200502737
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)c1ccc(-c2ccc(Cl)cc2)nc1	IC50	12.404523584254012
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)c1ccc(-c2ccc(F)cc2)nc1	IC50	10.596634733096073
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)c1ccc(-c2ccccc2)nc1	IC50	9.525051116815883
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)N1CCC(c2ccc(Cl)cc2)CC1	IC50	11.928440908931893
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)N1CCC(c2ccc(F)cc2)CC1	IC50	10.26016249647486
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1)N1CCC(c2ccccc2)CC1	IC50	9.210340371976182
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2nc(CN3CCCC3)ccc2c1	IC50	13.815510557964274
O=C(Nc1ccc2nc(CN3CCCC3)ccc2c1)c1ccc(-c2ccc(F)cc2)cc1	IC50	12.822258784953991
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2c(c1)NCC(CN1CCCC1)O2	IC50	12.98260143502917
Clc1ccc(-c2ccc(C#Cc3ccc(CCN4CCCC4)cc3)nc2)cc1	IC50	10.557414019942792
Clc1ccc(-c2ccc(C#Cc3ccc(CCCN4CCCC4)cc3)nc2)cc1	IC50	11.417615285165903
N#Cc1cccc(-c2ccc(N(CCN3CCCC3)C(=O)Nc3ccc(C(F)(F)F)c(F)c3)cc2)c1	IC50	12.166851932376892
N#Cc1cccc(C2=CC(N(CCN3CCCC3)C(=O)Nc3cc(Cl)cc(Cl)c3)CC2)c1	Ki	7.410282099933433
NCc1ccc(C2=CCC(N(CCN3CCCC3)C(=O)Nc3ccc(F)c(Cl)c3)CC2)s1	Ki	11.711376403694066
NCc1ncc(C2=CCC(N(CCN3CCCC3)C(=O)Nc3ccc(F)c(Cl)c3)CC2)s1	Ki	11.250561200502737
NCc1cnc(C2=CCC(N(CCN3CCCC3)C(=O)Nc3ccc(F)c(Cl)c3)CC2)s1	Ki	10.982297213908058
N#Cc1cccc([C@]23CC[C@@H](N(CCN4CCCC4)C(=O)Nc4ccc(F)c(Cl)c4)[C@H]2C3)c1	Ki	10.92513880006811
O=C(Cc1ccc(Oc2ccccc2)cc1)Nc1ccc2c(cnn2CCN2CCCC2)c1	IC50	9.458801731274683
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2c(cnn2CCN2CCCC2)c1	IC50	7.491151595582963
O=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccc2c(cnn2CCN2CCCC2)c1	IC50	11.330603908176274
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2cnn(CCN3CCCC3)c2c1	IC50	13.479038321343062
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1cccc2c1cnn2CCN1CCCC1	IC50	10.596634733096073
O=C(NC1CCN(Cc2ccc(C(=O)NCCN3CCCC3)c(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1	IC50	10.4482147279778
O=C(NCCN1CCCC1)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c(Cl)c1	IC50	13.122363377404328
O=C(Nc1cccc(F)c1)Nc1cc(C(=O)NCCN2CCCC2)ccc1Oc1ccc(F)c(F)c1	IC50	10.48330604778907
O=C(Nc1cccc(F)c1)Nc1cc(C(=O)NCCN2CCCC2)ccc1Oc1cccc(F)c1	IC50	10.126631103850338
O=C(CCc1ccccc1)Nc1cc(C(=O)NCCN2CCCC2)ccc1Oc1ccc2ccccc2c1	IC50	7.986564940354067
Clc1ccc(-c2ccc(C#Cc3ccc(NCCN4CCCC4)cc3)nc2)cc1	IC50	12.206072645530174
Clc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)c(Cl)c3)nc2)cc1	IC50	12.206072645530174
Clc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)cc3Cl)nc2)cc1	IC50	10.819778284410283
Brc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)cc3)nc2)cc1	IC50	12.02375108873622
Clc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)cc3)nc2)cc1	IC50	11.86960040890896
O=c1cc(OCc2cccc(Cl)c2)ccn1-c1ccc(OCCN2CCCC2)cc1	IC50	12.380426032674952
O=c1cc(OCc2cccc(F)c2)ccn1-c1ccc(OCCN2CCCC2)cc1	IC50	12.0405582070526
O=c1cc(OCc2ccc3ccccc3c2)ccn1-c1ccc(OCCN2CCCC2)cc1	IC50	11.774290229104636
O=c1cc(OCc2ccc(C(F)(F)F)cc2)ccn1-c1ccc(OCCN2CCCC2)cc1	IC50	11.913403031567354
O=c1cc(OCc2ccc(Cl)cc2)ccn1-c1ccc(OCCN2CCCC2)cc1	IC50	13.479038321343062
O=c1cc(OCc2ccccc2Cl)ccn1-c1ccc(OCCN2CCCC2)cc1	IC50	11.330603908176274
O=c1cc(OCc2ccccc2F)ccn1-c1ccc(OCCN2CCCC2)cc1	IC50	11.652187532303737
Clc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)nc3)nc2)cc1	IC50	12.02375108873622
Clc1ccc(-c2ccc(C#Cc3ccc(OCCN4CCCC4)nn3)nc2)cc1	IC50	9.47170513611059
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2c(c1)OC[C@@H](CN1CCCC1)O2	IC50	11.86960040890896
O=C(NCC(CCN1CCC(N2CCCCC2)CC1)c1ccc(Cl)c(Cl)c1)Nc1ccc(C(F)(F)F)cc1	IC50	6.812445099177812
O=C(Nc1ccc2c(c1)CCC(CN1CCCCC1)=C2)c1ccc(-c2ccc(Cl)cc2)cc1	IC50	12.89921982609012
O=C1N/C(=C\c2ccc(CN3CCCCC3)cc2)C(=O)N1c1ccc(Oc2ccccc2)cc1	Ki	5.298317366548036
O=C(NCCc1ccc(CN2CCCCC2)cc1)c1ccc(-c2ccc(Cl)cc2)cc1	IC50	13.122363377404328
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2nc(CN3CCCCC3)ccc2c1	IC50	13.932044374220226
O=C(CCN1CCCCC1)Nc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1F	IC50	10.680016342035124
N#Cc1cccc(-c2ccc(C(CCN3CCCCC3)CNC(=O)Nc3cc(Cl)cc(Cl)c3)cc2)c1	IC50	12.129111604394046
N#Cc1cccc([C@]23CC[C@@H](N(CCCCN4CCCCC4)C(=O)Nc4ccc(F)c(C(F)(F)F)c4)[C@H]2C3)c1	Ki	13.345506928718539
O=C(NC1CCN(Cc2ccc(OCCCN3CCCCC3)c(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1	IC50	12.716898269296165
N#Cc1cccc([C@]23CC[C@@H](N(CCN4CCCCC4)C(=O)Nc4ccc(F)c(Cl)c4)[C@H]2C3)c1	Ki	12.404523584254012
O=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccc2c(cnn2CCN2CCCCC2)c1	IC50	12.206072645530174
O=C(NCCN1CCCCC1)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1	IC50	10.982297213908058
O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCCC2)cc1	IC50	12.333906017040059
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C32CCN(Cc3ccoc3)CC2)c1	Ki	10.231991619508165
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C32CCNCC2)c1	Ki	9.737973114058555
O=c1c2cc(-c3ccc(Cl)cc3)cn2ncn1-c1ccc(N2CCC(N3CC(O)C3)C2)nc1	Ki	13.479038321343062
O=C(COc1ccc(F)c(F)c1)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)C1	IC50	9.944309547056383
O=C1N/C(=C\c2ccc(CN3CCC(O)C3)cc2)C(=O)N1c1ccc(Oc2ccccc2)cc1	Ki	8.645026562926123
OC1(C(F)(F)F)CCN(CCOc2ccc(C#Cc3ccc(-c4ccc(Cl)cc4)cn3)cc2)CC1	IC50	12.02375108873622
N#Cc1cccc(-c2ccc(C3(c4nc5cc(F)c(C(F)(F)F)cc5[nH]4)CC34CCN(CC(=O)O)CC4)cc2)c1	Ki	10.101938491259967
N#Cc1cccc(-c2ccc(C3(c4nc5cc(F)c(C(F)(F)F)cc5[nH]4)CC34CCN(Cc3ccccc3)CC4)cc2)c1	Ki	11.483366662728685
O=C(NCc1ccc(Cl)cc1O)C1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1	IC50	10.724468104605958
O=C(NCCc1ccccn1)C1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1	IC50	7.989510450583824
N#Cc1cccc(-c2ccc(C(CCc3nc4c(Cl)cc(Cl)cc4[nH]3)C3CCN(Cc4ccccc4)CC3)cc2)c1	Ki	10.557414019942792
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2nc(CN3CCC(c4ccc(C(F)(F)F)cc4)CC3)ccc2c1	IC50	12.007221786785008
O=C(CCC(=O)N1CCC(c2ccc(Cl)cc2)CC1)c1ccc2c(c1)CCNCC2	IC50	10.819778284410283
O=C(CCCN1CCC(c2ccc(Cl)cc2)CC1)c1ccc2c(c1)CCNCC2	IC50	10.724468104605958
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2nc(CN3CCC(c4ccc(F)cc4)CC3)ccc2c1	IC50	12.684108446473173
O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2nc(CN3CCC(c4ccccc4)CC3)ccc2c1	IC50	13.553146293496782
O=C(CCCN1CCC(c2ccccc2)CC1)c1ccc2c(c1)CCNCC2	IC50	10.819778284410283
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCOCC3)CC2)c1	Ki	11.959212567598648
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCSC3)CC2)c1	Ki	11.86960040890896
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(Cc3ccccc3)CC2)c1	Ki	10.637456727616328
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(Cc3ccoc3)CC2)c1	Ki	11.176453228349015
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(CCCCCO)CC2)c1	Ki	11.898587945782213
O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1)NC(c1ccc(F)cc1)c1ccc(F)cc1	IC50	10.982297213908058
O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccccc1)c1ccccn1	IC50	10.101938491259967
